celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-alta,worst_fit,42,305e2b27726305e196eea090fabc312280b39e1f,151.20954213924028,69782.8928052963,0,0.0,400.1333333333333,0,380,11753,em2021
az-em2021-alta,worst_fit,43,305e2b27726305e196eea090fabc312280b39e1f,150.79124190003125,69673.56623199867,0,0.0,398.7416666666667,0,238,12534,em2021
az-em2021-alta,worst_fit,44,305e2b27726305e196eea090fabc312280b39e1f,150.35460184316932,69430.60577115268,0,0.0,396.6333333333333,0,354,12090,em2021
az-em2021-alta,worst_fit,45,305e2b27726305e196eea090fabc312280b39e1f,151.45446807164382,69894.03317929158,0,0.0,400.9375,0,410,13271,em2021
az-em2021-alta,worst_fit,46,305e2b27726305e196eea090fabc312280b39e1f,150.18192938402288,69373.99741323019,0,0.0,395.70416666666665,0,330,13107,em2021
az-em2021-alta,worst_fit,47,305e2b27726305e196eea090fabc312280b39e1f,151.20481691688536,69829.15486720641,0,0.0,399.725,0,402,12658,em2021
az-em2021-alta,worst_fit,48,305e2b27726305e196eea090fabc312280b39e1f,151.65219599403306,69996.32881705064,0,0.0,401.75,0,294,14246,em2021
az-em2021-alta,worst_fit,49,305e2b27726305e196eea090fabc312280b39e1f,150.6697382945124,69522.09642749449,0,0.0,397.65,0,298,12878,em2021
az-em2021-alta,worst_fit,50,305e2b27726305e196eea090fabc312280b39e1f,150.3625548640949,69337.36412398203,0,0.0,398.825,0,376,15081,em2021
az-em2021-alta,worst_fit,51,305e2b27726305e196eea090fabc312280b39e1f,150.43620604702002,69389.80404228986,0,0.0,397.7,0,337,13021,em2021
az-em2021-alta,wsnb,42,305e2b27726305e196eea090fabc312280b39e1f,143.8510670039145,63734.440352233694,0,0.0,398.3333333333333,0,489,13446,em2021
az-em2021-alta,wsnb,43,305e2b27726305e196eea090fabc312280b39e1f,143.4176797505694,63370.168268009686,0,0.0,398.0125,0,325,15304,em2021
az-em2021-alta,wsnb,44,305e2b27726305e196eea090fabc312280b39e1f,143.64532895526492,63555.03370154565,0,0.0,397.26666666666665,0,472,14033,em2021
az-em2021-alta,wsnb,45,305e2b27726305e196eea090fabc312280b39e1f,143.9012546535291,63661.95772952348,0,0.0,399.1,0,530,17094,em2021
az-em2021-alta,wsnb,46,305e2b27726305e196eea090fabc312280b39e1f,143.58012021255146,63440.28431134905,0,0.0,398.15416666666664,0,400,16491,em2021
az-em2021-alta,wsnb,47,305e2b27726305e196eea090fabc312280b39e1f,143.91885784482622,63624.74663176548,0,0.0,399.375,0,501,14425,em2021
az-em2021-alta,wsnb,48,305e2b27726305e196eea090fabc312280b39e1f,144.0219433288428,63885.6107745133,0,0.0,398.625,0,408,12448,em2021
az-em2021-alta,wsnb,49,305e2b27726305e196eea090fabc312280b39e1f,143.789676202885,63662.83127751638,0,0.0,398.3625,0,421,15530,em2021
az-em2021-alta,wsnb,50,305e2b27726305e196eea090fabc312280b39e1f,143.74884720079984,63847.22227614471,0,0.0,399.07916666666665,0,466,15440,em2021
az-em2021-alta,wsnb,51,305e2b27726305e196eea090fabc312280b39e1f,143.34881707105697,63474.29868590001,0,0.0,398.26666666666665,0,447,15628,em2021
az-em2021-folgada,best_fit,42,305e2b27726305e196eea090fabc312280b39e1f,45.47490826657211,23568.899145535404,0,0.0,208.20833333333334,0,0,2820,em2021
az-em2021-folgada,best_fit,43,305e2b27726305e196eea090fabc312280b39e1f,44.96097323928879,23223.76798577147,0,0.0,208.0125,0,0,2834,em2021
az-em2021-folgada,best_fit,44,305e2b27726305e196eea090fabc312280b39e1f,44.999926901709586,23377.229400453758,0,0.0,207.06666666666666,0,0,2871,em2021
az-em2021-folgada,best_fit,45,305e2b27726305e196eea090fabc312280b39e1f,45.27386013034669,23512.297017240053,0,0.0,208.16666666666666,0,0,1732,em2021
az-em2021-folgada,best_fit,46,305e2b27726305e196eea090fabc312280b39e1f,45.357264934247205,23637.3406800362,0,0.0,207.89166666666668,0,0,2953,em2021
az-em2021-folgada,best_fit,47,305e2b27726305e196eea090fabc312280b39e1f,44.7399112607838,23138.99123416634,0,0.0,206.80416666666667,0,0,2871,em2021
az-em2021-folgada,best_fit,48,305e2b27726305e196eea090fabc312280b39e1f,45.51475762433026,23461.36070898326,0,0.0,209.57916666666668,0,0,2174,em2021
az-em2021-folgada,best_fit,49,305e2b27726305e196eea090fabc312280b39e1f,45.266900447720175,23366.720000475743,0,0.0,208.40833333333333,0,0,2463,em2021
az-em2021-folgada,best_fit,50,305e2b27726305e196eea090fabc312280b39e1f,45.02649553771819,23424.79839374682,0,0.0,205.60416666666666,0,0,1778,em2021
