celula,regime,algoritmo,seed,migracoes,intra_dc,inter_dc,frac_intra,vms_migradas,vms_com_mais_de_2_migracoes,max_migracoes_por_vm
az-flat-alta,alta,cnemesis,56,460,460,0,1.0,329,25,5
az-flat-alta,alta,cnemesis,57,460,460,0,1.0,328,27,5
az-flat-alta,alta,cnemesis,58,460,460,0,1.0,321,30,6
az-flat-alta,alta,cnemesis,59,460,460,0,1.0,364,11,4
az-flat-alta,alta,cnemesis,60,460,460,0,1.0,354,15,4
az-flat-alta,alta,cnemesis,61,460,460,0,1.0,323,32,6
az-flat-alta,alta,cnemesis,62,460,460,0,1.0,340,26,7
az-flat-alta,alta,cnemesis,63,460,460,0,1.0,310,38,6
az-flat-alta,alta,cnemesis,64,460,460,0,1.0,344,21,5
az-flat-alta,alta,cnemesis,65,460,460,0,1.0,367,10,5
az-flat-alta,alta,cnemesis,66,460,460,0,1.0,343,28,5
az-flat-alta,alta,cnemesis,67,460,460,0,1.0,330,21,5
az-flat-alta,alta,cnemesis,68,460,460,0,1.0,318,29,6
az-flat-alta,alta,cnemesis,69,460,460,0,1.0,359,15,4
az-flat-alta,alta,cnemesis,70,460,460,0,1.0,382,10,4
az-flat-alta,alta,cnemesis,71,460,460,0,1.0,326,28,5
az-flat-alta,alta,follow_renewables,42,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,43,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,44,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,45,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,46,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,47,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,48,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,49,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,50,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,51,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,52,0,0,0,,0,0,0
az-flat-alta,alta,follow_renewables,53,0,0,0,,0,0,0
