celula,algoritmo,n_seeds,categoria,dif_gco2,dif_gco2_pct,dif_kwh,dif_kwh_pct,gib_migrados,gco2_por_gib,degenerado_por_construcao,p_bruto,p_holm3,significativo_gco2,recorte
pue-az-realjun-folgada,followme_s,10,vence_ambos,-573.6241736058912,-8.946772180826647,-3.7253607397998727,-7.463227623783189,7579.272125484049,0.0756832798860955,False,0.001953125,0.005859375,True,campanha_completa
pue-go-realjun-folgada,cnemesis,10,vence_ambos,-79.68943809583043,-1.7098468885480835,-0.4315609729162972,-1.0321440111493445,3680.154523140192,0.021653829369054113,False,0.001953125,0.005859375,True,campanha_completa
pue-go-realjun-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
pue-go-realjun-folgada,followme_s,10,vence_ambos,-173.1130367037034,-3.7143791479491535,-1.169260314412614,-2.796464710050718,9102.984366703871,0.019017173899243598,False,0.001953125,0.005859375,True,campanha_completa
az-realjun-folgada,cnemesis,10,vence_ambos,-332.9804091568948,-5.570816312497046,-1.303650393613848,-3.03038129242395,3680.5069234392604,0.09047134432387924,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-realjun-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,doze_celulas_seeds42_51
az-realjun-folgada,followme_s,10,vence_ambos,-553.1576897403739,-9.254417967685557,-3.3550789751732233,-7.798999341215598,7579.272125484049,0.07298295675127862,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-realjun-alta,cnemesis,10,vence_ambos,-117.7109140418892,-0.1945841514933833,-0.1593963005580889,-0.11094029605335202,5309.740338068828,0.022168864491912438,False,0.009765625,0.009765625,True,doze_celulas_seeds42_51
az-realjun-alta,follow_renewables,10,vence_ambos,-3487.1897925353796,-5.764562040826658,-4.9538708753960154,-3.4479087632666037,25219.016583948956,0.13827620045877828,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-realjun-alta,followme_s,10,vence_ambos,-507.2587879783576,-0.8385332970161563,-0.9759242809310706,-0.6792461824588646,8838.369071618468,0.05739280447195323,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-flat-folgada,cnemesis,10,vence_ambos,-1376.8994843397327,-6.003673476164696,-2.8987357565035827,-6.003673476162855,3680.530861451477,0.3741035019596956,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-flat-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,True,1.0,1.0,False,doze_celulas_seeds42_51
az-flat-folgada,followme_s,10,vence_ambos,-1748.3885126083137,-7.623471327110785,-3.6808179212792096,-7.6234713271083825,7579.270788806304,0.23068030702775244,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-flat-alta,cnemesis,10,vence_ambos,-1078.0485673691742,-1.5715967055356632,-2.2695759313025574,-1.5715967055351037,3681.4991826940327,0.29282868578020005,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-flat-alta,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,True,1.0,1.0,False,doze_celulas_seeds42_51
az-flat-alta,followme_s,10,vence_ambos,-446.5585533828431,-0.6510003097893041,-0.9401232702778458,-0.6510003097880868,8738.148084553797,0.05110448450424105,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-anticorr-folgada,cnemesis,10,vence_ambos,-457.3742604745689,-7.1510400215356755,-1.299011068369672,-2.718332648984925,3680.5069234392604,0.1242693656033594,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-anticorr-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,doze_celulas_seeds42_51
