celula,metrica,algoritmo,media,posto_medio,vencedor
az-realjun-folgada,total_gco2,follow_renewables,5963.489357538987,3.5,False
az-realjun-folgada,total_gco2,followme_s,5367.674907812067,1.0,True
az-realjun-folgada,total_gco2,lowest_carbon_dc,5963.489357538987,3.5,False
az-realjun-folgada,total_gco2,round_robin,60837.410131365665,11.0,False
az-realjun-folgada,total_gco2,worst_fit,27920.20081756571,10.0,False
az-realjun-folgada,total_gco2,wsnb,6515.946005692558,5.0,False
az-realjun-folgada,total_kwh,best_fit,45.35104637995434,7.0,False
az-realjun-folgada,total_kwh,bfd,47.29409616476342,9.0,False
az-realjun-folgada,total_kwh,cnemesis,41.645490479448576,2.0,False
az-realjun-folgada,total_kwh,ffd,46.27933495967997,8.0,False
az-realjun-folgada,total_kwh,first_fit,44.919800074774656,6.0,False
az-realjun-folgada,total_kwh,follow_renewables,42.95572202502511,4.5,False
az-realjun-folgada,total_kwh,followme_s,39.454079547098644,1.0,True
az-realjun-folgada,total_kwh,lowest_carbon_dc,42.95572202502511,4.5,False
az-realjun-folgada,total_kwh,round_robin,131.8991683511138,11.0,False
az-realjun-folgada,total_kwh,worst_fit,61.571565760142114,10.0,False
az-realjun-folgada,total_kwh,wsnb,42.59421708255025,3.0,False
az-realjun-folgada,gco2_por_vm,best_fit,10.760614181589316,9.0,False
az-realjun-folgada,gco2_por_vm,bfd,10.69580852000508,8.0,False
az-realjun-folgada,gco2_por_vm,cnemesis,2.814196716262236,2.0,False
az-realjun-folgada,gco2_por_vm,ffd,6.520890128123921,7.0,False
az-realjun-folgada,gco2_por_vm,first_fit,6.505051220056339,6.0,False
az-realjun-folgada,gco2_por_vm,follow_renewables,2.9817446787694935,3.5,False
az-realjun-folgada,gco2_por_vm,followme_s,2.6838374539060337,1.0,True
az-realjun-folgada,gco2_por_vm,lowest_carbon_dc,2.9817446787694935,3.5,False
az-realjun-folgada,gco2_por_vm,round_robin,30.41870506568284,11.0,False
az-realjun-folgada,gco2_por_vm,worst_fit,13.960100408782857,10.0,False
az-realjun-folgada,gco2_por_vm,wsnb,3.257973002846279,5.0,False
geo3-az-realjun-folgada,total_gco2,best_fit,13439.68157269774,5.0,False
geo3-az-realjun-folgada,total_gco2,bfd,14677.287858246986,9.0,False
geo3-az-realjun-folgada,total_gco2,cnemesis,12603.908290055579,2.0,False
geo3-az-realjun-folgada,total_gco2,ffd,13588.980428483988,6.0,False
geo3-az-realjun-folgada,total_gco2,first_fit,12821.9941346993,4.0,False
geo3-az-realjun-folgada,total_gco2,follow_renewables,12795.44760676751,3.0,False
geo3-az-realjun-folgada,total_gco2,followme_s,12450.77723396325,1.0,True
geo3-az-realjun-folgada,total_gco2,lowest_carbon_dc,13836.14726165345,8.0,False
geo3-az-realjun-folgada,total_gco2,round_robin,15860.287679094976,11.0,False
geo3-az-realjun-folgada,total_gco2,worst_fit,15428.114193722746,10.0,False
geo3-az-realjun-folgada,total_gco2,wsnb,13695.080007077453,7.0,False
geo3-az-realjun-folgada,total_kwh,best_fit,45.161545120033566,5.0,False
geo3-az-realjun-folgada,total_kwh,bfd,48.09802868722444,9.0,False
geo3-az-realjun-folgada,total_kwh,cnemesis,42.862027775608446,2.0,False
geo3-az-realjun-folgada,total_kwh,ffd,45.480389670469705,7.0,False
geo3-az-realjun-folgada,total_kwh,first_fit,43.71869656375389,4.0,False
geo3-az-realjun-folgada,total_kwh,follow_renewables,43.71496115060388,3.0,False
geo3-az-realjun-folgada,total_kwh,followme_s,42.09861888376103,1.0,True
geo3-az-realjun-folgada,total_kwh,lowest_carbon_dc,45.76902394226763,8.0,False
geo3-az-realjun-folgada,total_kwh,round_robin,50.98375552253068,11.0,False
geo3-az-realjun-folgada,total_kwh,worst_fit,49.20051298007043,10.0,False
geo3-az-realjun-folgada,total_kwh,wsnb,45.27503463951155,6.0,False
geo3-az-realjun-folgada,gco2_por_vm,best_fit,6.71984078634887,5.0,False
geo3-az-realjun-folgada,gco2_por_vm,bfd,7.338643929123494,9.0,False
geo3-az-realjun-folgada,gco2_por_vm,cnemesis,6.30195414502779,2.0,False
geo3-az-realjun-folgada,gco2_por_vm,ffd,6.7944902142419945,6.0,False
geo3-az-realjun-folgada,gco2_por_vm,first_fit,6.41099706734965,4.0,False
geo3-az-realjun-folgada,gco2_por_vm,follow_renewables,6.397723803383756,3.0,False
geo3-az-realjun-folgada,gco2_por_vm,followme_s,6.225388616981625,1.0,True
geo3-az-realjun-folgada,gco2_por_vm,lowest_carbon_dc,6.918073630826724,8.0,False
geo3-az-realjun-folgada,gco2_por_vm,round_robin,7.930143839547488,11.0,False
geo3-az-realjun-folgada,gco2_por_vm,worst_fit,7.714057096861372,10.0,False
geo3-az-realjun-folgada,gco2_por_vm,wsnb,6.847540003538727,7.0,False
geo3-go-realjun-folgada,total_gco2,best_fit,11924.162788317131,10.0,False
geo3-go-realjun-folgada,total_gco2,bfd,11732.433464412637,9.0,False
geo3-go-realjun-folgada,total_gco2,cnemesis,10265.709006965448,6.0,False
geo3-go-realjun-folgada,total_gco2,ffd,10103.05715423254,5.0,False
geo3-go-realjun-folgada,total_gco2,first_fit,10740.380254273405,7.0,False
geo3-go-realjun-folgada,total_gco2,follow_renewables,9982.221371573763,3.0,False
geo3-go-realjun-folgada,total_gco2,followme_s,9456.964127946268,1.0,True
geo3-go-realjun-folgada,total_gco2,lowest_carbon_dc,9955.35240628685,2.0,False
geo3-go-realjun-folgada,total_gco2,round_robin,16633.472267788224,11.0,False
geo3-go-realjun-folgada,total_gco2,worst_fit,10898.796527141109,8.0,False
geo3-go-realjun-folgada,total_gco2,wsnb,9992.698882892044,4.0,False
geo3-go-realjun-folgada,total_kwh,best_fit,38.927310815412696,10.0,False
geo3-go-realjun-folgada,total_kwh,bfd,38.75558196453999,9.0,False
geo3-go-realjun-folgada,total_kwh,cnemesis,37.38415085114502,8.0,False
