celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
geo3-go-realjun-folgada,ffd,51,305e2b27726305e196eea090fabc312280b39e1f,35.36228070773286,10355.864927568824,0,0.0,98.425,0,0,992
geo3-go-realjun-folgada,first_fit,42,305e2b27726305e196eea090fabc312280b39e1f,37.29311563698943,10945.014318118741,0,0.0,99.60833333333333,0,6,550
geo3-go-realjun-folgada,first_fit,43,305e2b27726305e196eea090fabc312280b39e1f,37.36879143860782,11038.355976060324,0,0.0,101.65833333333333,0,6,565
geo3-go-realjun-folgada,first_fit,44,305e2b27726305e196eea090fabc312280b39e1f,36.29208487824813,10571.0598210963,0,0.0,99.07083333333334,0,5,654
geo3-go-realjun-folgada,first_fit,45,305e2b27726305e196eea090fabc312280b39e1f,36.87291856917185,10730.57600371717,0,0.0,99.59166666666667,0,5,470
geo3-go-realjun-folgada,first_fit,46,305e2b27726305e196eea090fabc312280b39e1f,36.13856551108691,10595.884770867991,0,0.0,98.05833333333334,0,8,346
geo3-go-realjun-folgada,first_fit,47,305e2b27726305e196eea090fabc312280b39e1f,36.97410716385253,10942.037047213686,0,0.0,101.47083333333333,0,6,677
geo3-go-realjun-folgada,first_fit,48,305e2b27726305e196eea090fabc312280b39e1f,34.87096614520668,10136.659848108306,0,0.0,95.40833333333333,0,6,578
geo3-go-realjun-folgada,first_fit,49,305e2b27726305e196eea090fabc312280b39e1f,37.2091614536347,10895.104686809616,0,0.0,103.03333333333333,0,5,671
geo3-go-realjun-folgada,first_fit,50,305e2b27726305e196eea090fabc312280b39e1f,36.658049524266254,10720.839965061707,0,0.0,101.83333333333333,0,8,501
geo3-go-realjun-folgada,first_fit,51,305e2b27726305e196eea090fabc312280b39e1f,36.39136756441333,10828.27010568021,0,0.0,98.02916666666667,0,6,553
geo3-go-realjun-folgada,follow_renewables,42,305e2b27726305e196eea090fabc312280b39e1f,36.82401365494331,10044.03462844616,550,3066637.3489789963,83.06666666666666,14036,0,7031
geo3-go-realjun-folgada,follow_renewables,43,305e2b27726305e196eea090fabc312280b39e1f,37.07210575253842,10147.951719052138,516,3007482.2587709427,84.47083333333333,12708,3,8298
geo3-go-realjun-folgada,follow_renewables,44,305e2b27726305e196eea090fabc312280b39e1f,36.94204880076352,10076.88778983702,517,2879681.7869529724,83.82083333333334,11335,1,6790
geo3-go-realjun-folgada,follow_renewables,45,305e2b27726305e196eea090fabc312280b39e1f,36.6844619201504,9985.83958920345,510,2905570.7847442627,84.9875,15419,0,8055
geo3-go-realjun-folgada,follow_renewables,46,305e2b27726305e196eea090fabc312280b39e1f,37.00573239130766,10114.689379305946,526,2624100.086045265,84.62083333333334,12929,4,8099
geo3-go-realjun-folgada,follow_renewables,47,305e2b27726305e196eea090fabc312280b39e1f,36.16831268601028,9794.727162003612,535,3106290.8017482758,81.44583333333334,13472,0,7521
geo3-go-realjun-folgada,follow_renewables,48,305e2b27726305e196eea090fabc312280b39e1f,35.4951845473462,9492.585474656134,509,3000836.4005260468,79.45,11991,0,7223
